company_name,asset_sys_id,mel_id,make_source,ps_make,modality_source,ps_modality,model_name_source,ps_model_name,model_number
CHRISTIANA,13094578,789538.0,ALARIS MEDICAL SYSTEMS INC SUB CARDINAL HEALTH INC,Alaris Medical Systems,"Infusion Pumps, Analgesic, Patient-Controlled",Infusion Pumps,8120 ALARIS PUMP,8120,70942
CHRISTIANA,122914011,766994.0,BOSTON SCIENTIFIC - ENDOSURGERY GROUP,Boston Scientific,"Radiofrequency Therapy Systems, Tissue Ablation",Surgery,"MAESTRO-4000 Radiofrequency Therapy Sys, Tissue Ablatn, cardiac",Maestro 4000,64198
CHRISTIANA,112514022,766994.0,BOSTON SCIENTIFIC - ENDOSURGERY GROUP,Boston Scientific,"Radiofrequency Therapy Systems, Tissue Ablation",Surgery,"MAESTRO-4000 Radiofrequency Therapy Sys, Tissue Ablatn, cardiac",Maestro 4000,60025
CHRISTIANA,112514024,766994.0,BOSTON SCIENTIFIC - ENDOSURGERY GROUP,Boston Scientific,"Radiofrequency Therapy Systems, Tissue Ablation",Surgery,"MAESTRO-4000 Radiofrequency Therapy Sys, Tissue Ablatn, cardiac",Maestro 4000,60026
CHRISTIANA,A1080,5020.0,BUNNELL INC,Bunnell,"Ventilators, Intensive Care, Neonatal/Pediatric, High-Frequency",Respiratory,204 LIFE PULSE,Life Pulse,67459
CHRISTIANA,1809541,752122.0,BIODEX MEDICAL SYSTEMS INC,Biodex,"Tables, Imaging, Ultrasound","Beds, Medical Furniture and Patient Transport",Ultra Pro Ultrasound Table - 058-726,Ultra Pro,68347
CHRISTIANA,NX1688LI,793290.0,ARTHREX INC,Arthrex,"Irrigation/Distention Systems, Arthroscopic",General Biomedical,Continuous Wave II Arthroscopy Pump AR-6400,Continuous Wave II,42354
CHRISTIANA,70724,790421.0,ARMEDICA MFG CORP,Armedica,"Tables, Examination/Treatment, Adjustable","Beds, Medical Furniture and Patient Transport",Treatment Table AM-300,AM-300,66945
CHRISTIANA,54529,790421.0,ARMEDICA MFG CORP,Armedica,"Tables, Examination/Treatment, Adjustable","Beds, Medical Furniture and Patient Transport",Treatment Table AM-300,AM-300,65031
CHRISTIANA,16323,790421.0,ARMEDICA MFG CORP,Armedica,"Tables, Examination/Treatment, Adjustable","Beds, Medical Furniture and Patient Transport",Treatment Table AM-300,AM-300,39067
CHRISTIANA,21468,790421.0,ARMEDICA MFG CORP,Armedica,"Tables, Examination/Treatment, Adjustable","Beds, Medical Furniture and Patient Transport",Treatment Table AM-300,AM-300,47990
CHRISTIANA,21469,790421.0,ARMEDICA MFG CORP,Armedica,"Tables, Examination/Treatment, Adjustable","Beds, Medical Furniture and Patient Transport",Treatment Table AM-300,AM-300,47988
