,make_source,make_target,match_type,confirmed
83,ALPHA PROTECH INC,Alpha Technologies,first_1_words,FALSE
91,AMERICAN ELECTROMEDICS CORP,American Vault Corporation,first_1_words,FALSE
108,APPLIED SCIENCE INC.,Applied Test Systems,first_1_words,FALSE
170,Accu-Check,Accu-Time Systems,first_1_words,FALSE
171,Accu-Metrics,Accu-Time Systems,first_1_words,FALSE
173,Accu-Tech Industries,Accu-Time Systems,first_1_words,FALSE
218,Adams Nutator,Adams Inc.,first_1_words,FALSE
219,Adams Scientific Inc,Adams Inc.,first_1_words,FALSE
233,Advanced Containment Sys Inc,Advanced Sterilization Products,first_1_words,FALSE
234,Advanced Healthcare Technology Ltd,Advanced Sterilization Products,first_1_words,FALSE
238,Advanced Medical Research,Advanced Sterilization Products,first_1_words,FALSE
239,Advanced Medical Systems Inc,Advanced Sterilization Products,first_1_words,FALSE
241,Advanced Rehabilitation,Advanced Sterilization Products,first_1_words,FALSE
242,Advanced Respiratory,Advanced Sterilization Products,first_1_words,FALSE
243,Advanced Respiratory Inc.,Advanced Sterilization Products,first_1_words,FALSE
247,Advanced Ultra-Violet Systems,Advanced Sterilization Products,first_1_words,FALSE
309,Alexander Battery Co. S.E,Alexander Technologies,first_1_words,FALSE
361,American Bioclinical,American Vault Corporation,first_1_words,FALSE
362,American Bioproducts Co.,American Vault Corporation,first_1_words,FALSE
363,American Biosystems,American Vault Corporation,first_1_words,FALSE
370,American Diagnostics Corp,American Vault Corporation,first_1_words,FALSE
371,American Echo,American Vault Corporation,first_1_words,FALSE
372,American Edwards Labs,American Vault Corporation,first_1_words,FALSE
373,American Electromedics Corp,American Vault Corporation,first_1_words,FALSE
374,American Hospital Supply,American Vault Corporation,first_1_words,FALSE
375,American Hydro-Surgical,American Vault Corporation,first_1_words,FALSE
376,American IV Products,American Vault Corporation,first_1_words,FALSE
382,American Orthopedic,American Vault Corporation,first_1_words,FALSE
384,American Pharmaseal,American Vault Corporation,first_1_words,FALSE
387,American Scale,American Vault Corporation,first_1_words,FALSE
388,American Scale Corp.,American Vault Corporation,first_1_words,FALSE
392,American Standard,American Vault Corporation,first_1_words,FALSE
394,American Weigh Scales Inc,American Vault Corporation,first_1_words,FALSE
409,Analytical Industries,Analytical Solutions & Providers (ASAP),first_1_words,FALSE
432,Apex Medical,Apex Dynamics,first_1_words,FALSE
433,Apex Medical Corp,Apex Dynamics,first_1_words,FALSE
434,Apex Tool Group,Apex Dynamics,first_1_words,FALSE
493,Associated Research,Associated X-Ray Corp,first_1_words,FALSE
508,Audio Buddy,"Audio-Technica U.S., Inc.",first_1_words,FALSE
516,Aurora Pro Scientific,Aurora Imaging Corporation,first_1_words,FALSE
582,BECKMAN INSTRUMENTS INC,Beckman Coulter,first_1_words,FALSE
602,BINDER INC,Binder,first_1_words,FALSE
610,BIOMEDICAL SCIENCE,"BioMedical Solutions, Inc. (BSI)",first_1_words,FALSE
626,BLUE POINT,Blue Sun Scientific,first_1_words,FALSE
654,BROWN & MORRISON,Brown,first_1_words,FALSE
746,Beckman Industrial,Beckman Coulter,first_1_words,FALSE
747,Beckman Instruments Inc,Beckman Coulter,first_1_words,FALSE
770,Belmont Medical,Belmont Instrument,first_1_words,FALSE
771,Belmont Medical Technologies,Belmont Instrument,first_1_words,FALSE
785,Berkeley Bio-Engineering,Berkeley Nucleonics Corporation,first_1_words,FALSE
796,Beta Medical Products,Beta Star,first_1_words,FALSE
842,Biochem International Inc,Biochem Immunosystems,first_1_words,FALSE
851,Biomed Devices Inc.,Biomed Instruments,first_1_words,FALSE
852,Biomed Simulation Inc,Biomed Instruments,first_1_words,FALSE
853,Biomedical Enterprises,"BioMedical Solutions, Inc. (BSI)",first_1_words,FALSE
855,Biomedical Research Instruments Inc (BRI),"BioMedical Solutions, Inc. (BSI)",first_1_words,FALSE
908,Body Care,Body-Solid,first_1_words,FALSE
912,Boehringer Inc,Boehringer Mannheim,first_1_words,FALSE
914,"Boehringer Labs., LLC",Boehringer Mannheim,first_1_words,FALSE
1003,CARDIAC PATHWAYS,Cardiac Science,first_1_words,FALSE
1005,CARDIAC SYSTEMS INC,Cardiac Science,first_1_words,FALSE
1011,CARDIO VASCULAR DYNAMICS,Cardio Theater,first_1_words,FALSE
1015,CARDIOVASCULAR IMAGING SYSTEMS,Cardiovascular Instrument,first_1_words,FALSE
1018,CAROLINA CABLE & CONNECTO,Carolina Liquid Chemistries,first_1_words,FALSE
1066,CLINICAL HEALTH PRODUCTS,Clinical Data ,first_1_words,FALSE
1088,"CONCEPT II, INC.",Concept,first_1_words,FALSE
1098,CONTINENTAL EQUIPMENT,Continental Refrigerator,first_1_words,FALSE
1103,COOPER TOOLS-WELLER,Cooper-Atkins,first_1_words,FALSE
1154,Cambridge Scientific Industrie,Cambridge Reserach & Instrumentation (CRi),first_1_words,FALSE
1175,Cardiac Care Units Inc,Cardiac Science,first_1_words,FALSE
1183,Cardinal Healthcare,Cardinal Health,first_1_words,FALSE
1184,Cardinal Scale Mfg.,Cardinal Health,first_1_words,FALSE
1186,Cardio Chek,Cardio Theater,first_1_words,FALSE
1187,Cardio Command Inc,Cardio Theater,first_1_words,FALSE
1188,Cardio MEMSInc,Cardio Theater,first_1_words,FALSE
1195,Cardiovascular Dynamics,Cardiovascular Instrument,first_1_words,FALSE
1197,Cardiovascular System Inc,Cardiovascular Instrument,first_1_words,FALSE
1198,Cardiovascular Systems Inc,Cardiovascular Instrument,first_1_words,FALSE
