,Unnamed: 0,model_name_source,model_name_target,confidence,match_type,mel_id,make_target,modality_target,confirmed
0,0,200 - Smart Lite Led Curing Sys,SmartLite PS,0.85,llm,752580.0,DENTSPLY,General Biomedical,False
1,1,"PROMIX 400 - Mixer, Amalgamator",ProMix 400,0.95,llm,752584.0,DENTSPLY,Dental,False
2,2,HTR - Obturator Oven,HTR-PTU,0.8,llm,764487.0,DENTSPLY,Dental,False
3,3,Gen124 - Cavitron Select SPS,Select SPS,0.9,llm,790053.0,DENTSPLY,Sterilization,False
4,4,GT Obturators,,0.0,no_match,,DENTSPLY,,False
5,5,AEU-20,,0.0,no_match,,DENTSPLY,,False
6,6,AEU-27T,,0.0,no_match,,DENTSPLY,,False
7,7,AEU-35T,,0.0,no_match,,DENTSPLY,,False
0,0,BioSonic UC300R-115,Biosonic UC300,0.9,llm,759345.0,Coltene/Whaledent,Sterilization,False
1,1,Biosonic US200,Biosonic US,0.8,llm,790056.0,Coltene/Whaledent,Sterilization,False
2,2,US100R115T,BioSonic US100,0.85,llm,749079.0,Coltene/Whaledent,Dental,False
3,3,C7949 - Coltolux 50,,0.0,no_match,,Coltene/Whaledent,,False
4,4,BioSonic UC125,,0.0,no_match,,Coltene/Whaledent,,False
5,5,H07040 - Ultrafil® 3D Heater,,0.0,no_match,,Coltene/Whaledent,,False
0,0,RealEyes xDVR - Realeyes Xdvr Binocular Video Goggles,VisualEyes,0.7,llm,745207.0,"Micromedical Technologies, Inc.","Beds, Medical Furniture and Patient Transport",False
1,1,"CHAIR-MATE - Alarm, Chair Occupancy",,1.0,no_match,,"Micromedical Technologies, Inc.",,False
2,2,"33010 DIGIFLEX - Analyzer, Auto Pipette",,1.0,no_match,,"Micromedical Technologies, Inc.",,False
3,3,MicroRPM,,1.0,no_match,,"Micromedical Technologies, Inc.",,False
0,0,AE200,AE200,,exact,750197.0,Mettler Toledo,General Laboratory,True
1,1,XSR105,XSR105,,exact,795651.0,Mettler Toledo,General Laboratory,True
2,2,ME204E,ME204,0.9,llm,794661.0,Mettler Toledo,General Laboratory,False
3,3,M3,,0.0,no_match,,Mettler Toledo,,False
4,4,SG23,,0.0,no_match,,Mettler Toledo,,False
0,0,311-00 - Table Top Balance,,0.0,no_match,,American Scientific,,False
1,1,B9750-1 - Bacteria Incinerator,,0.0,no_match,,American Scientific,,False
2,2,"DK-62 - Appliance, Oven, Constant",,0.0,no_match,,American Scientific,,False
3,3,R4185-70 -,,0.0,no_match,,American Scientific,,False
