,model_name_source,model_name_target,match_type,confirmed,make_target,confidence,reasoning,mel_id,modality_target
0,,,no_match,False,AliMed,,,,
1,2130 PATIENT ALARM TRANSMITTER UNIT,,no_match,False,AliMed,,,,
2,2131 PATIENT ALARM TRANSMITTER UNIT,,no_match,False,AliMed,,,,
3,QUALCARE,,no_match,False,AliMed,,,,
4,,,no_match,False,Beverage Air,0.0,"The raw model name is empty, so there is no information to match against the standardized list.",,
5,HEMA-TEK 2000,Hema-Tek 2000,exact,True,Bayer,,,4248.0,Histology
6,RAPID POINT 400,rapidpoint400,skip_special_chars,False,Bayer,,,,
7,HEMATEK,Hema-Tek 2000,llm,False,Bayer,0.8,Name similarity suggests a match with Hema-Tek 2000.,4248.0,Histology
8,Contour,Ascensia Contour,llm,False,Bayer,0.9,Direct match with Ascensia Contour.,10426.0,Chemistry
9,,,no_match,False,Bayer,0.0,Empty model name cannot be matched to any standardized model.,,
10,Visble Genetics Opengene Long Read Tower,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
11,CLINITEK 200+,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
12,_,,no_match,False,Bayer,0.0,Underscore is not a valid model name.,,
13,Stellant Flex,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
14,Jetstream,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
15,MRXperion,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
16,Stellant Certegra WS,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
17,Stellant D,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
18,Medrad Mark 7,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
19,CLINITEK 500,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
20,Advia 120,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
21,Advia 2120,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
22,Stellant,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
23,Arterion,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
24,ADVIA CENTAUR XP,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
25,STELLANT CT INJECTOR,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
26,MEDRAD MRXPERION MR,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
27,CLINITEK STATUS +,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
28,6470,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
29,URINE ANALYZER,,no_match,False,Bayer,0.0,"Generic term, not a specific model.",,
30,Stellant Flex RM,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
31,Clinitek Status,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
32,M634,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
33,NONE,,no_match,False,Bayer,0.0,NONE is not a valid model name.,,
34,CENTAUR,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
35,DCA 2000+,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
36,Clinitek Advantus,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
37,5417,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
38,CLINITEK 50,,no_match,False,Bayer,0.0,No similar model in the standardized list.,,
