company_name,asset_sys_id,mel_id,make_source,ps_make,modality_source,ps_modality,model_name_source,ps_model_name,model_number
SUMMA,B23283,752580.0,Dentsply,DENTSPLY,"Acrylic Curing Units, Dental",General Biomedical,200 - Smart Lite Led Curing Sys,SmartLite PS,
SUMMA,B23597,752580.0,Dentsply,DENTSPLY,"Acrylic Curing Units, Dental",General Biomedical,200 - Smart Lite Led Curing Sys,SmartLite PS,
SUMMA,B22991,752580.0,Dentsply,DENTSPLY,"Acrylic Curing Units, Dental",General Biomedical,200 - Smart Lite Led Curing Sys,SmartLite PS,
SUMMA,B23552,752580.0,Dentsply,DENTSPLY,"Acrylic Curing Units, Dental",General Biomedical,200 - Smart Lite Led Curing Sys,SmartLite PS,
SUMMA,1-1609121,752580.0,Dentsply,DENTSPLY,"Acrylic Curing Units, Dental",General Biomedical,200 - Smart Lite Led Curing Sys,SmartLite PS,
SUMMA,1104,765365.0,Percussionaire Corp.,Percussionaire Corporation,"Airway Clearance Units, HF Chest Wall Oscillation",Respiratory,IPV-1 - Intrapulmonary Ventilator,IPV-1,
SUMMA,647,765365.0,Percussionaire Corp.,Percussionaire Corporation,"Airway Clearance Units, HF Chest Wall Oscillation",Respiratory,IPV-1 - Intrapulmonary Ventilator,IPV-1,
SUMMA,IPV1980135,765365.0,Percussionaire Corp.,Percussionaire Corporation,"Airway Clearance Units, HF Chest Wall Oscillation",Respiratory,IPV-1 - Intrapulmonary Ventilator,IPV-1,
SUMMA,875,765365.0,Percussionaire Corp.,Percussionaire Corporation,"Airway Clearance Units, HF Chest Wall Oscillation",Respiratory,IPV-1C - Intrapulmonary Ventilator,IPV-1,
SUMMA,51-01894,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-01414,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-01416,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-02853,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-02852,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-02854,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-03355,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,53-23539,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,53-22552,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-01375,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,51-02705,759396.0,Hill-Rom,Hill-Rom,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,P205 - The Vest Airway Clearance System,Vest Airway Clearance System,
SUMMA,1029395,752054.0,General Physiotherapy Inc.,General Physiotherapy,"Airway Clearance Units, HF Chest Wall Oscillation",General Biomedical,Vibracare G5,G5 Vibracare,
SUMMA,29752,752584.0,Dentsply,DENTSPLY,Amalgamators,Dental,"PROMIX 400 - Mixer, Amalgamator",ProMix 400,
SUMMA,30254,752584.0,Dentsply,DENTSPLY,Amalgamators,Dental,"PROMIX 400 - Mixer, Amalgamator",ProMix 400,
SUMMA,29859,752584.0,Dentsply,DENTSPLY,Amalgamators,Dental,"PROMIX 400 - Mixer, Amalgamator",ProMix 400,
SUMMA,30256,752584.0,Dentsply,DENTSPLY,Amalgamators,Dental,"PROMIX 400 - Mixer, Amalgamator",ProMix 400,
SUMMA,30093,752584.0,Dentsply,DENTSPLY,Amalgamators,Dental,"PROMIX 400 - Mixer, Amalgamator",ProMix 400,
SUMMA,711003115,744652.0,Beckman Coulter,Beckman Coulter,"Analyzers, Lab, Clinical Chemistry",General Laboratory,378600 - Prepplus 2 Prepsystem,PrepPlus,
SUMMA,503252,8039.0,Beckman Coulter,Beckman Coulter,"Analyzers, Lab, Clinical Chemistry",General Laboratory,386220 - Access 2,Access 2,
SUMMA,AL47143,737598.0,Beckman Coulter,Beckman Coulter,"Analyzers, Lab, Clinical Chemistry",Hematology,6605429 - TQ Prep Workstation,TQ-Prep,
SUMMA,BA01002,737598.0,Beckman Coulter,Beckman Coulter,"Analyzers, Lab, Clinical Chemistry",Hematology,6605429 - TQ Prep Workstation,TQ-Prep,
SUMMA,AM32887,8041.0,Beckman Coulter,Beckman Coulter,"Analyzers, Lab, Clinical Chemistry",General Laboratory,Ac diff 2 -,Ac-T diff2,
SUMMA,1164,8022.0,Bayer Healthcare,Bayer,"Analyzers, Lab, Clinical Chemistry",General Laboratory,ACS 180 SE,ACS 180 SE,
SUMMA,7043143,798133.0,Olympus America,Olympus,"Analyzers, Lab, Clinical Chemistry",General Laboratory,AU640,AU640,
SUMMA,1120830,798133.0,Olympus America,Olympus,"Analyzers, Lab, Clinical Chemistry",General Laboratory,AU640,AU640,
SUMMA,A4327,8203.0,Sysmex America,"Sysmex America, Inc.","Analyzers, Lab, Clinical Chemistry",General Laboratory,CA-1500,Sysmex CA-1500,
SUMMA,A4928,679.0,Sysmex America,"Sysmex America, Inc.","Analyzers, Lab, Clinical Chemistry",General Laboratory,CA-560,Sysmex CA-560,
SUMMA,1148,747462.0,Digene Corp.,Digene,"Analyzers, Lab, Clinical Chemistry",General Laboratory,DML 2000 - Hybrid Capture System,DML 2000,
